Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
0,2024-02-06 18:58:14,290753758805,"fraud_Rippin, Kub and Mann",travel,45.55,Fname,Lname,M,123 Fake St,Cityville,CA,90210,34.0,-118.0,879807,Doctor,1980-01-01,trans_0,1707226094,34.0,-118.0,0
1,2025-03-08 18:58:14,725094096686,fraud_Keeling-Crist,misc_net,65.51,Fname,Lname,F,123 Fake St,Cityville,CA,90210,34.0,-118.0,963074,Scientist,1980-01-01,trans_1,1741440494,34.0,-118.0,0
2,2025-09-24 18:58:14,182474793434,fraud_Keeling-Crist,misc_pos,44.27,Fname,Lname,F,123 Fake St,Cityville,CA,90210,34.0,-118.0,650413,Artist,1980-01-01,trans_2,1758720494,34.0,-118.0,0
3,2025-05-04 18:58:14,131507758581,fraud_Lind-Buckridge,shopping_pos,12.74,Fname,Lname,F,123 Fake St,Cityville,CA,90210,34.0,-118.0,803659,Engineer,1980-01-01,trans_3,1746365294,34.0,-118.0,0
4,2024-04-29 18:58:14,766838721183,"fraud_Kutch, Hermiston and Farrell",home,130.74,Fname,Lname,F,123 Fake St,Cityville,CA,90210,34.0,-118.0,104568,Sales,1980-01-01,trans_4,1714397294,34.0,-118.0,0
5,2024-03-14 18:58:14,654721199370,"fraud_Rippin, Kub and Mann",kids_pets,17.81,Fname,Lname,F,123 Fake St,Cityville,CA,90210,34.0,-118.0,492546,Artist,1980-01-01,trans_5,1710422894,34.0,-118.0,0
6,2025-11-02 18:58:14,450534604911,"fraud_Heller, Gutmann and Zieme",home,22.53,Fname,Lname,F,123 Fake St,Cityville,CA,90210,34.0,-118.0,165034,Accountant,1980-01-01,trans_6,1762090094,34.0,-118.0,0
7,2024-02-21 18:58:14,270445165319,fraud_Lind-Buckridge,travel,33.44,Fname,Lname,M,123 Fake St,Cityville,CA,90210,34.0,-118.0,336811,Developer,1980-01-01,trans_7,1708522094,34.0,-118.0,0
8,2024-06-13 18:58:14,896513196936,"fraud_Kutch, Hermiston and Farrell",personal_care,100.08,Fname,Lname,M,123 Fake St,Cityville,CA,90210,34.0,-118.0,17678,Scientist,1980-01-01,trans_8,1718285294,34.0,-118.0,0
9,2024-04-27 18:58:14,635306885182,"fraud_Kutch, Hermiston and Farrell",misc_net,146.98,Fname,Lname,M,123 Fake St,Cityville,CA,90210,34.0,-118.0,492287,Doctor,1980-01-01,trans_9,1714224494,34.0,-118.0,0
10,2024-04-15 18:58:14,509479833297,fraud_Misc_Store,entertainment,9.39,Fname,Lname,F,123 Fake St,Cityville,CA,90210,34.0,-118.0,264806,Scientist,1980-01-01,trans_10,1713187694,34.0,-118.0,0
11,2024-04-15 18:58:14,339285302692,"fraud_Kutch, Hermiston and Farrell",home,76.78,Fname,Lname,M,123 Fake St,Cityville,CA,90210,34.0,-118.0,879299,Developer,1980-01-01,trans_11,1713187694,34.0,-118.0,0
12,2025-09-05 18:58:14,724690113127,fraud_Lind-Buckridge,gas_transport,34.58,Fname,Lname,M,123 Fake St,Cityville,CA,90210,34.0,-118.0,265120,Sales,1980-01-01,trans_12,1757078894,34.0,-118.0,0
13,2024-07-13 18:58:14,342058689593,"fraud_Heller, Gutmann and Zieme",home,26.6,Fname,Lname,F,123 Fake St,Cityville,CA,90210,34.0,-118.0,21534,Scientist,1980-01-01,trans_13,1720877294,34.0,-118.0,0
14,2024-10-23 18:58:14,187445888647,"fraud_Rippin, Kub and Mann",personal_care,87.21,Fname,Lname,F,123 Fake St,Cityville,CA,90210,34.0,-118.0,224363,Driver,1980-01-01,trans_14,1729690094,34.0,-118.0,0
15,2025-06-20 18:58:14,680566127897,fraud_Lind-Buckridge,health_fitness,103.23,Fname,Lname,F,123 Fake St,Cityville,CA,90210,34.0,-118.0,607026,Sales,1980-01-01,trans_15,1750426094,34.0,-118.0,0
16,2025-06-04 18:58:14,243599275693,"fraud_Rippin, Kub and Mann",grocery_pos,148.65,Fname,Lname,M,123 Fake St,Cityville,CA,90210,34.0,-118.0,613932,Manager,1980-01-01,trans_16,1749043694,34.0,-118.0,0
17,2025-05-13 18:58:14,843908508017,fraud_Keeling-Crist,health_fitness,75.72,Fname,Lname,M,123 Fake St,Cityville,CA,90210,34.0,-118.0,835885,Manager,1980-01-01,trans_17,1747142894,34.0,-118.0,0
18,2024-03-12 18:58:14,515179132872,"fraud_Heller, Gutmann and Zieme",personal_care,77.46,Fname,Lname,M,123 Fake St,Cityville,CA,90210,34.0,-118.0,62663,Teacher,1980-01-01,trans_18,1710250094,34.0,-118.0,0
19,2025-11-21 18:58:14,150439502949,"fraud_Rippin, Kub and Mann",shopping_pos,115.07,Fname,Lname,F,123 Fake St,Cityville,CA,90210,34.0,-118.0,848067,Teacher,1980-01-01,trans_19,1763731694,34.0,-118.0,0
20,2024-09-01 18:58:14,911192914667,"fraud_Heller, Gutmann and Zieme",kids_pets,134.04,Fname,Lname,F,123 Fake St,Cityville,CA,90210,34.0,-118.0,981481,Driver,1980-01-01,trans_20,1725197294,34.0,-118.0,0
21,2025-03-11 18:58:14,164940127615,fraud_Keeling-Crist,grocery_pos,95.79,Fname,Lname,F,123 Fake St,Cityville,CA,90210,34.0,-118.0,631756,Scientist,1980-01-01,trans_21,1741699694,34.0,-118.0,0
22,2025-01-09 18:58:14,347553453246,"fraud_Heller, Gutmann and Zieme",home,159.58,Fname,Lname,M,123 Fake St,Cityville,CA,90210,34.0,-118.0,747573,Artist,1980-01-01,trans_22,1736429294,34.0,-118.0,0
23,2024-01-28 18:58:14,269042754419,"fraud_Kutch, Hermiston and Farrell",shopping_pos,87.73,Fname,Lname,M,123 Fake St,Cityville,CA,90210,34.0,-118.0,499415,Teacher,1980-01-01,trans_23,1706448494,34.0,-118.0,0
24,2024-09-14 18:58:14,290335629601,fraud_Misc_Store,entertainment,98.04,Fname,Lname,M,123 Fake St,Cityville,CA,90210,34.0,-118.0,383285,Artist,1980-01-01,trans_24,1726320494,34.0,-118.0,0
25,2024-08-07 18:58:14,513763305818,"fraud_Kutch, Hermiston and Farrell",kids_pets,107.99,Fname,Lname,M,123 Fake St,Cityville,CA,90210,34.0,-118.0,998862,Doctor,1980-01-01,trans_25,1723037294,34.0,-118.0,0
